Original,English,ChineseSimplified,ChineseTraditional,German,French,Japanese,Korean,Spanish,Italian
BRAKEOUT,BRAKEOUT,刹车失效,剎車失靈,German,French,BRAKEOUT,Korean,Spanish,Italian
PLAY,PLAY,开始,開始,,,開始,,,
CAR,CAR,角色,角色,,,キャラ,,,
TOP,TOP,排行,排行,,,ランキング,,,
STORE,STORE,商店,商店,,,アイテム店,,,
SETTING,SETTING,设置,設定,,,設定,,,
TAP ANYWHERE TO START,TAP ANYWHERE TO START,触碰以开始,觸碰以開始,,,タップして開始する,,,
CHEST,CHEST,道具箱,道具箱,,,ボックス,,,
QUEST,QUEST,任务,任務,,,任務,,,
FEATURES,FEATURES,特质,特質,,,特徴,,,
The initial vehicle for training,The initial vehicle for training,为练习设计的初始载具,為練習設計的起始載具,,,練習用に設計された初期車両,,,
Vehicle with better acceleration,Vehicle with better acceleration,拥有更好加速度的载具,擁有更好加速度的載具,,,より良い加速を備えた車両,,,
Vehicle with better steering,Vehicle with better steering,拥有更好转向性能的载具,擁有更好轉向性能的載具,,,ステアリング性能の良い車両,,,
Advanced vehicle with better booster,Advanced vehicle with better booster,拥有得分奖励的高级载具,擁有得分獎勵的高級載具,,,スコアブースターを備えた先進な車両,,,
Perfect vehicle with best performance,Perfect vehicle with best performance,拥有最佳表现的完美载具,擁有最佳表現的完美載具,,,最高のパフォーマンス備えた完璧な車両,,,
Color blending background,Color blending background,多种颜色交织的场景,多種顏色交織的場景,,,複数の色を混ぜるのシーン,,,
Brand new sky theme scene,Brand new sky theme scene,全新的天空主题场景,全新的天空主題場景,,,新しい空のテーマ,,,
ACCELERATION,ACCELERATION,加速度,加速度,,,加速,,,
HANDLING,HANDLING,操控性,操縱性,,,まがりやすさ,,,
BOOSTER,BOOSTER,得分奖励,得分獎勵,,,スコアブースター,,,
UPGRADE,UPGRADE,升级,升級,,,強化する,,,
MAX,MAX,最大,最大,,,最大,,,
MIN,MIN,最小,最小,,,最小,,,
COMMON,COMMON,普通,普通,,,普通,,,
RARE,RARE,稀有,稀有,,,稀有,,,
EPIC,EPIC,史诗,史詩,,,エピック,,,
LEGENDARY,LEGENDARY,传说,傳說,,,伝説,,,
TRAIL,TRAIL,尾焰,尾焰,,,トレイル,,,
LINE,LINE,线性,線性,,,リニア,,,
STAR,STAR,星星,星星,,,星,,,
FIRE,FIRE,火焰,火焰,,,炎,,,
CLOUD,CLOUD,云朵,雲朵,,,雲,,,
FEATHER,FEATHER,羽毛,羽毛,,,羽,,,
NONE,NONE,暂缺,暫缺,,,のどれも,,,
EQUIP,EQUIP,装备,裝備,,,装備,,,
EQUIPPED,EQUIPPED,已装备,已裝備,,,装備完了,,,
OVERALL,OVERALL,总排行,總排行,,,全体,,,
DAILY,DAILY,每日排行,每日排行,,,毎日,,,
FRIENDS,FRIENDS,好友排行,好友排行,,,友達,,,
BUNDLE,BUNDLE,组合包,組合包,,,バンドル,,,
COIN,COIN,金币,金幣,,,コイン,,,
STAR,STAR,星星,星星,,,星,,,
REMOVE ADS,REMOVE ADS,去除广告,去除廣告,,,広告を削除,,,
PURCHASE,PURCHASE,购买,購買,,,購入,,,
OWNED,OWNED,已拥有,已擁有,,,持つ,,,
MAGNET,MAGNET,磁铁,磁鐵,,,磁石,,,
HOURGLASS,HOURGLASS,沙漏,沙漏,,,砂時計,,,
SHIELD,SHIELD,护盾,護盾,,,シールド,,,
